original_index,image,problem,solution,schema,netlist
30,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4DA20>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A general filter circuit is shown in the <image>(a).
The output of the above circuit is given to the circuit shown in the <image>(b).
The gain \( v / s \) frequency characteristic of the output \( v_o \) will be
Choices  
(A) Diagram A  
(B) Diagram B  
(C) Diagram C  
(D) Diagram D
",D,"Figure a:
R1 R Ni Nn NA
R2 R Nn No NA
R3 R Ni Np NA
R4 R Np 0 NA
C1 C Nn No NA
A1 AMP Nn Np No
Labels:
Vi V Ni 0
Vo V No 0
Figure b:
R_A/2 R N1 No NA
C1 C No N0 NA
Labels:
Vin V N1 N0
Vo V No N0
Option A, Option B, Option C, Option D: x axis: ω, y axis: Gain
Option A: high-pass type response
Option B: low-pass type response 
Option C: band-stop/notch response
Option D: band-pass response","* circuit generated from schema
.subckt FIGA Ni Nn Np No
R1 Ni Nn 10k
R2 Nn No 10k
R3 Ni Np 10k
R4 Np 0 10k
C1 Nn No 1n
E1 No 0 Np Nn 1e5
.ends FIGA
XFA Ni_a Nn_a Np_a No_a FIGA
V1 Ni_a 0 DC 1
.subckt FIGB N1 N0 No
R5 N1 No 5k
C2 No N0 1n
.ends FIGB
XFB N1_b N0_b No_b FIGB
V2 N1_b N0_b DC 1
.end"
33,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4CC40>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in <image>, assume that the voltage drop across a forward-biased diode is 0.7 V. The thermal voltage \( V_t = \frac{KT}{q} = 25 \text{mV} \). The small signal input is \( v_i = V_P \cos(\omega t) \) where \( V_P = 100 \text{mV} \).

The bias current \( I_{DC} \) through the diodes is ________

Choices 
A. 1 mA  
B. 1.25 mA  
C. 1.5 mA  
D. 2 mA
",A,"R1 R N2 N1 9900Ω
V1 V N2 N3 12.7V
vi V N3 0 NA
D1 D N1 N4 NA
D2 D N4 N5 NA
D3 D N5 N6 NA
D4 D N6 0 NA
Labels:
IDC+iac I N1 0
VDC+Vac V N1 0","* circuit generated from schema
R1 N2 N1 9900
V1 N2 N3 DC 12.7
Vi N3 0 AC 1
D1 N1 N4 Dmod
D2 N4 N5 Dmod
D3 N5 N6 Dmod
D4 N6 0 Dmod
.model Dmod D(Is=1e-14 N=1 Rs=0.1 Cjo=1e-12)
.end"
34,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4EAA0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the AC circuit shown in the figure, \( R = X_L = 10 \Omega \). To make the power factor \( \cos \varphi = 0.707 \), what is the value of \( X_C \)?
Choices 
A. \( 5 \Omega \)  
B. \( 10 \Omega \)  
C. \( 20 \Omega \)  
D. \( 30 \Omega \)
",B,"C C N1 N2 C
R R N1 N3 R
L L N3 N2 L
Labels:
u V N1 N2","* circuit generated from schema
V1 N1 0 DC 1
C1 N1 0 1u
R1 N1 N3 1k
L1 N3 0 1m
.end"
36,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FBE0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the voltage-divider biased amplifier circuit shown in figure, if the base bias resistor \( R_2 \) is accidentally open-circuited but the circuit still operates in the amplification state, how do the quiescent parameters \( I_{CQ} \) and \( U_{CEQ} \) change?
Choices 
A. \( I_{CQ} \) increases, \( U_{CEQ} \) decreases  
B. \( I_{CQ} \) decreases, \( U_{CEQ} \) increases  
C. \( I_{CQ} \) remains unchanged, \( U_{CEQ} \) decreases  
D. \( I_{CQ} \) remains unchanged, \( U_{CEQ} \) increases
",A,"VT NPN NC NB NE NA
R1 R Nvcc NB NA
R2 R NB 0 NA
R3 R Nvcc NC NA
R4 R NE 0 NA
C1 C Ni NB NA
C2 C NC No NA
Ce C NE 0 NA
RL R No 0 NA
Labels:
ui V Ni 0
uo V No 0
+VCC V Nvcc 0","* circuit generated from schema
VCC Nvcc 0 DC 12
Vin Ni 0 DC 0
QVT NC NB NE NPNMOD
R1 Nvcc NB 100k
R2 NB 0 10k
R3 Nvcc NC 4.7k
R4 NE 0 1k
C1 Ni NB 1u
C2 NC No 1u
Ce NE 0 100u
RL No 0 10k
.model NPNMOD NPN(IS=1e-14 BF=150 VAF=100 CJE=20p CJC=8p TF=0.6n TR=100n)
.end"
37,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4F280>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question:In the figure shown, self-impedances of the two transmission lines are \( 1.5j \, p.u \) each, and \( Z_m = 0.5j \, p.u \) is the mutual impedance. Bus voltages shown in the figure are in p.u. Given that \( \delta > 0 \), the maximum steady-state real power that can be transferred in p.u from Bus-1 to Bus-2 is

Choices:
A. \( |E| |V| \)  
B. \( \frac{|E| |V|}{2} \)  
C. \( 2 |E| |V| \)  
D. \( \frac{3 |E| |V|}{2} \)
",A,"Line-1 L Bus-1 Bus-2 0.5j; TransmissionLine-1
Line-2 L Bus-1 Bus-2 0.5j; TransmissionLine-2
Labels:
|E|∠ẟ° V Bus-1 NA
|V|∠0° V Bus-2 NA
","* circuit generated from schema
V1 Bus-1 0 DC 1
V2 Bus-2 0 DC 1
L1 Bus-1 Bus-2 0.5
L2 Bus-1 Bus-2 0.5
K12 L1 L2 0.5
.end"
38,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FDC0>,"Hint: Please answer the question requiring a floating-point number with two decimal place and provide the final value, e.g., 1.23, 1.34, 1.45, at the end. 
Question: Given image denotes a common-collector amplifier circuit. Calculate the approximate voltage gain (A\(_V\)) for the common-emitter amplifier circuit, as shown in the figure. The approximate voltage gain is ______.",7.02,"Q1 NPN NC NB NE NA
R1 R Nvcc NB 81kΩ
R2 R NB 0 8.1kΩ
R3 R Nvcc NC 33kΩ
R4 R NE 0 4.7kΩ
C1 C NB Nin NA
C2 C NC Nout NA
Vin V Nin 0 NA
Labels:
25V V Nvcc 0
Vout V Nout 0","* circuit generated from schema
V1 Nvcc 0 DC 25
VIN Nin 0 AC 1
R1 Nvcc NB 81k
R2 NB 0 8.1k
R3 Nvcc NC 33k
R4 NE 0 4.7k
C1 Nin NB 10u
C2 NC Nout 10u
Q1 NC NB NE MOD1
.model MOD1 NPN BF=50 VAF=50 IS=1.E-12 RB=100 CJC=.5PF TF=.6NS
.end"
39,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FE20>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The figure below shows coils-1 and 2, with dot markings as shown, having 4000 and 6000 turns respectively. Both the coils have a rated current of 25 A. Coil-1 is excited with single phase, 400 V, 50 Hz supply.

The current in each coil is ______.

Choices:  
A. Coil-1 is 25 A and Coil-2 is 10 A  
B. Coil-1 is 10 A and Coil-2 is 25 A  
C. Coil-1 is 10 A and Coil-2 is 15 A  
D. Coil-1 is 15 A and Coil-2 is 10 A
",D,"L1 L A B NA; coil 1, between A and B
L2 L C D NA; coil 2, between C and D","* circuit generated from schema
V1 A 0 DC 1
L1 A 0 10m
L2 C 0 10m
K1 L1 L2 0.99
.end"
40,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FE50>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The right figure is a schematic diagram of a step-down transformer in the left figure providing power to a user. \( \mathrm{R}_0 \) represents the total resistance of the transmission line, and it is assumed that the load at the user end is a purely resistive device with a total resistance of \( R \). The transformer is considered an ideal transformer, the input voltage is constant, and the meters are ideal. When the number of appliances used by the user decreases, which of the following statements is correct?

Choices:  
A. The total resistance \( R \) of the user decreases  
B. The reading of voltmeter \( V_2 \) increases  
C. The voltage across the appliance \( R \) increases  
D. The reading of ammeter \( A_1 \) remains unchanged
",C,"A1 AMMETER N2 N1 NA
L1 L N1 N3 NA; primary coil
V1 VOLTMETER N1 N3 NA
A2 AMMETER N4 N5 NA
L2 L N4 N6 NA; secondary coil
R R N5 N7 NA
R0 R N6 N7 NA
V2 VOLTMETER N4 N6 NA
","* circuit generated from schema
Vexc N2 0 DC 1
VA1 N2 N1 DC 0
L1 N1 0 10m
VA2 N4 N5 DC 0
L2 N4 0 10m
K1 L1 L2 0.99
R N5 N7 1k
R0 0 N7 1k
.end"
41,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4F5B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the given rectifier, the delay angle of the thyristor \( T_1 \) measured from the positive going zero crossing of \( V_s \) is 30°. If the input voltage \( V_s \) is \( 100\sin(100\pi t) \) V, the average voltage across \( R \) (in Volt) under steady-state is ______.

Choices  
A. 32.32  
B. 45.82  
C. 61.53  
D. 82.45
",C,"Vs V N1 N4 NA
T1 SCR N1 N3 NA
D4 D N2 N1 NA
D3 D N4 N1 NA
D2 D N2 N4 NA
R R N1 N2 NA
Labels:
Vo V N1 N2 ","* circuit generated from schema
VS N1 N4 DC 1
R1 N1 N2 1k
D2 N2 N4 DSTD
D3 N4 N1 DSTD
D4 N2 N1 DSTD
ASCR1 N1 N3 0 SCRMOD
.model DSTD D(Is=1e-14 N=1)
.model SCRMOD scr
.end"
43,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4EE60>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in <image> using an ideal opamp, the 3-dB cut-off frequency (in Hz) is

Choices  
A. 100.10  
B. 120.25  
C. 159.15  
D. 200.45
",C,"A1 AMP Np Nn Nout NA; Np non-inverting input, Nn inverting input
R1 R Ni Nc 10kΩ
R2 R Nc Np 10kΩ
C1 C Nc 0 0.1μF
R3 R 0 Nn 10kΩ
R4 R Nn Nout 10kΩ
Labels:
vi V Ni 0
vo V Nout 0","* circuit generated from schema
V1 Ni 0 DC 1
R1 Ni Nc 10k
R2 Nc Np 10k
C1 Nc 0 0.1u
R3 0 Nn 10k
R4 Nn Nout 10k
E1 Nout 0 Np Nn 1e6
.end"
44,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4F1F0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the sinusoidal AC circuit shown in figure, an inductance with reactance of \( 10 \Omega \) and a load \( Z \) are connected in series. If the voltmeter (V1), (V2), and (V) all show the same value, then the load \( Z = \) ______ \( \angle -30^{\circ} \Omega \).
",10,"L1 L N1 N2 10Ω
Z Z N2 N3 Z
V1 VOLTMETER N1 N2 NA
V2 VOLTMETER N2 N3 NA
V VOLTMETER N1 N3
Labels:
u V N1 N3

","* circuit generated from schema
Vsup N1 0 DC 1
L1 N1 N2 10mH
RZ N2 N3 1k
RV1 N1 N2 1G
RV2 N2 N3 1G
RV3 N1 N3 1G
.end"
45,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4E9B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Four power sources, each with an electromotive force of \( \varepsilon \) and an internal resistance of \( r \), are connected as shown in <image>. Then:

Choices:  
A. \( U_{AB} = 2\varepsilon \), \( U_{BC} = \varepsilon \)  
B. \( U_{AB} = 0 \), \( U_{BC} = 0 \)  
C. \( U_{AB} = \varepsilon \), \( U_{BC} = 3\varepsilon \)  
D. \( U_{AB} = 0 \), \( U_{BC} = \varepsilon \)
",C,"V1 V A N1 NA
V2 V B N1 NA
V3 V B C NA
V4 V A C NA","* circuit generated from schema
V1 A 0 DC 1
C1 A N1 1u
C2 N1 B 1u
C3 B C 1u
C4 C A 1u
.end"
49,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FFA0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the difference amplifier shown in <image>, assume the op-amp to be ideal. The CMRR (in dB) of the difference amplifier is ______ (rounded off to 2 decimal places).

Choices
A. 12.36
B. 36.25
C. 40.52
D. 48.44
",C,"A1 AMP Nn Np Nout; Nn inverting input, Np non-inverting input
vin1 V N1 0 NA
R1 R N1 Nn 10.5kΩ
R2 R Nn Nout 101kΩ
vin2 V N2 0 NA
R3 R N2 Np 9.5kΩ
R4 R Np 0 101.5kΩ
Labels:
vo V Nout 0","* circuit generated from schema
E1 Nout 0 Np Nn 1e6
V1 N1 0 DC 1
V2 N2 0 DC 1
R1 N1 Nn 10.5k
R2 Nn Nout 101k
R3 N2 Np 9.5k
R4 Np 0 101.5k
.end"
50,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4E9E0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Consider the R-L-C circuit shown in the <image>. For a step-input \( e_i \), the overshoot in the output \( e_o \) will be ______.  
Choices:  
A. 0, since the system is not underdamped  
B. 5%  
C. 16%  
D. 48%
",C,"ei V N1 N0 NA
R1 R N1 N2 10Ω
L1 L N2 N3 1mH
C1 C N3 N0 10μF
Labels:
eo V N3 N0","* circuit generated from schema
Vei N1 0 DC 1
R1 N1 N2 10
L1 N2 N3 1mH
C1 N3 0 10uF
.end"
51,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FF70>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: For the BJT in the amplifier shown in <image>, \( V_{BE} = 0.7V \), \( kT/q = 26mV \). Assume the BJT output resistance (\( r_o \)) is very high and the base current is negligible. The capacitors are also assumed to be short-circuited at signal frequencies. The input \( v_i \) is direct coupled. The low-frequency gain \( v_o/v_i \) of the amplifier is ______.

Choices  
A. -89.42  
B. -128.21  
C. -178.85  
D. -256.42
",A,"Q1 NPN NC, NB, NE
Vi V NB 0 NA
RC R Nvcc NC 10kΩ
RE R NE Nvee 20kΩ
C1 C NC No 1μF
CE C NE 0 100μF
RL R No 0 10kΩ
VCC V Nvcc 0 10V
VEE V Nvee 0 -10V
Labels:
vo V No 0","* circuit generated from schema
V1 Nvcc 0 DC 10
V2 Nvee 0 DC -10
V3 NB 0 DC 0 AC 1
R1 Nvcc NC 10k
R2 NE Nvee 20k
C1 NC No 1u
C2 NE 0 100u
R3 No 0 10k
Q1 NC NB NE QNPN
.model QNPN NPN(BF=100 VAF=100 IS=1e-14 RB=100 CJE=5p CJC=3p TF=0.5ns)
.end"
52,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4EB60>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: Using the superposition theorem, the value of the voltage \( U \) is ()V.
",12.7,"I1 I N0 N1 3A; independent current source
R1 R N1 N0 4Ω
R2 R N1 N2 2Ω
R3 R N2 N0 2Ω
I2 I N0 N1 4A; independent current source
R4 R N1 N3 10Ω
R5 R N3 N0 10Ω
Labels:
U V N1 N0","* circuit generated from schema
VU N1 0 DC 1
I1 0 N1 DC 3
I2 0 N1 DC 4
R1 N1 0 4
R2 N1 N2 2
R3 N2 0 2
R4 N1 N3 10
R5 N3 0 10
.end"
53,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4E4D0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The power electronic converter shown in the figure has a single-pole double-throw switch. The pole \( P \) of the switch is connected alternately to throws \( A \) and \( B \). The converter shown is a

Choices:  
A. step down chopper (buck converter)  
B. half-wave rectifier  
C. step-up chopper (boost converter)  
D. full-wave rectifier
",A,"VIN V A B NA
S1 SW A P B NA; SPDT with pole at P
L L P No NA
R R No B NA
Labels:
VOUT V No B","* circuit generated from schema
V1 A 0 DC 1
VCTRL CTRL 0 PULSE(0 5 1u 1n 1n 5u 10u)
S1 A P CTRL 0 SWON
S2 P 0 0 CTRL SWOFF
L1 P No 1mH
R1 No 0 1k
.model SWON SW(Ron=1m Roff=1Meg Vt=2.5 Vh=0.1)
.model SWOFF SW(Ron=1m Roff=1Meg Vt=-2.5 Vh=0.1)
.end"
54,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4DF30>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question:  In the circuit shown in the figure, \( U_{AB} = ________ \text{V} \).",7.5,"R1 R A N1 5Ω
V1 V N1 N2 30V
R2 R N2 N3 10Ω
R3 R N2 N4 5Ω
V2 V B N4 30V; B grounded
R4 R N3 B 5Ω; B grounded","* circuit generated from schema
R1 A N1 5
V1 N1 N2 DC 30
R2 N2 N3 10
R3 N2 N4 5
V2 0 N4 DC 30
R4 N3 0 5
.end"
55,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FCA0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The circuit shown in <image> is used to provide regulated voltage (5 V) across the 1 kΩ resistor. Assume that the Zener diode has a constant reverse breakdown voltage for a current range, starting from a minimum required Zener current, \(I_{Z_{min}} = 2 \text{ mA}\) to its maximum allowable current. The input voltage \(V_I\) may vary by 5% from its nominal value of 6 V. The resistance of the diode in the breakdown region is negligible.

The value of \(R\) and the minimum required power dissipation rating of the diode, respectively, are:

Choices:
A. 186 Ω and 10 mW  
B. 100 Ω and 40 mW  
C. 100 Ω and 10 mW  
D. 186 Ω and 40 mW
",B,"R1 R N1 N2 2Ω
R2 R N2 N3 2Ω
R3 R N2 N0 5Ω
Labels:
I1 I N1 N2
I2 I N3 N2
V1 V N1 N0
V2 V N3 N0","* circuit generated from schema
R1 N1 N2 2
R2 N2 N3 2
R3 N2 0 5
V1 N1 0 DC 1
V2 N3 0 DC 1
I1 N1 N2 DC 0
I2 N3 N2 DC 0
.end"
56,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FE80>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The diodes and capacitors in the circuit shown in <image> are ideal. The voltage \( v(t) \) across the diode \( D_1 \) is

Choices  
A. \( \cos (\omega t) - 1 \)  
B. \( \sin (\omega t) \)  
C. \( 1 - \cos (\omega t) \)  
D. \( 1 - \sin (\omega t) \)
",A,"V1 V N1 0 cos(ωt)
C1 C N1 N2 NA
D1 D N2 0 NA
D2 D N3 N2 NA
C2 C N3 0 NA
Labels:
v(t) V N2 0","* circuit generated from schema
V1 N1 0 SIN(0 1 1k 0 0 90)
C1 N1 N2 1u
D1 N2 0 DCLAMP
D2 N3 N2 DCLAMP
C2 N3 0 1u
.model DCLAMP D(Is=1e-14 N=1 Rs=0.1 Cjo=1p)
.end"
57,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4FEB0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: In the circuit shown in the figure, the current source \(I = 1A\), the voltage source \(V = 5V\), \(R_1 = R_2 = R_3 = 1\Omega\), \(L_1 = L_2 = L_3 = 1H\), \(C_1 = C_2 = 1F\). The currents (in A) through \(R_3\) and through the voltage source \(V\) respectively will be  
**Choices:**  
A. 1, 4  
B. 5, 1  
C. 5, 2  
D. 5, 4",D,"I I N1 N2 NA
L1 L N2 N3 NA
R1 R N3 N4 NA
C1 C N4 N5 NA
L2 L N5 N1 NA
R2 R N4 N6 NA
L3 L N6 N7 NA
R3 R N7 N1 NA
C2 C N6 N1 NA
V1 V N6 N1 V","* circuit generated from schema
I1 0 N2 DC 1m
L1 N2 N3 1mH
R1 N3 N4 1k
C1 N4 N5 1uF
L2 N5 0 1mH
R2 N4 N6 1k
L3 N6 N7 1mH
R3 N7 0 1k
C2 N6 0 1uF
V1 N6 0 DC 1
.end"
58,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4F700>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: Resistor \(R_1\) in the <image> has been adjusted so that \(I_1=1 \text{ mA}\). The bipolar transistors Q1 and Q2 are perfectly matched and have very high current gain, so their base currents are negligible. The supply voltage \(V_{CC}\) is 6 V. The thermal voltage \(kT/q\) is 26 mV.

The value of \(R_2\) (in \(\Omega\)) for which \(I_2=100 \mu \text{A}\) is ________
",598.7,"Q1 NPN NC1 NB1 NE1 NA; NB1 and NC1 shorted (NB1=NC1), NE1 at GND(0)
Q2 NPN NC2 NB2 NE2 NA; NC2 = Nvcc(same node)
R1 R Nvcc NC1 NA
R2 R NE2 0 NA
Labels:
VCC V Nvcc 0
I1 I NE1 0
I2 I Nvcc NC2; current into Q2 collector","* circuit generated from schema
V1 Nvcc 0 DC 5
R1 Nvcc NC1 10k
R2 NE2 0 1k
Q1 NC1 NC1 0 QMOD
Q2 Nvcc NC1 NE2 QMOD
.model QMOD NPN BF=75 VAF=50 IS=1e-12 RB=100 CJE=1p CJC=3p TF=0.6ns
.end"
59,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4F220>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, if the readings of both the ammeter and the voltmeter suddenly increase, the possible cause of this phenomenon is 
Choices 
A. \( R_1 \) open circuit  
B. \( R_3 \) short circuit  
C. \( R_3 \) open circuit  
D. \( R_1 \) short circuit
",D,"R1 R N1 N2 NA
A AMMETER N2 N3 NA
R3 R N3 N4 NA
R2 R N1 N3 NA
E V N1 N4 NA
V VOLTMETER N3 N4 NA","* circuit generated from schema
V1 N1 0 DC 5
R1 N1 N2 1k
VA N2 N3 DC 0
R2 N1 N3 1k
R3 N3 0 1k
RVM N3 0 1e12
.end"
60,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C310>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, for the transistor with a current gain \( \beta = 49 \), \( V_{BEQ} = 0.7V \), the quiescent base current \( I_{BQ} = \) ________\mu A.
",71.5,"VT NPN NC, NB, NE
Vcc V NC 0 10V
Rb R NC NB 30kΩ
Re R NE 0 2kΩ
C1 C Ni NB NA
C2 C NE No NA
Labels:
ui V Ni 0
uo V No 0","* circuit generated from schema
VCC NC 0 DC 10
VUI NI 0 DC 1
VUO NO 0 DC 0
RB NC NB 30k
RE NE 0 2k
C1 NI NB 1u
C2 NE NO 1u
QVT NC NB NE NPNMOD
.model NPNMOD NPN (BF=100 IS=1e-14 VAF=100)
.end"
61,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C0A0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A voltage \( 1000 \sin \omega t \) Volts is applied across YZ. Assuming ideal diodes, the voltage measured across WX (in Volts) is

Choices  
A. \( \sin \omega t \)  
B. \( \frac{(\sin \omega t + |\sin \omega t|)}{2} \)  
C. \( \frac{(\sin \omega t - |\sin \omega t|)}{2} \)  
D. 0 for all \( t \)
",D,"D1 D W N1 NA
D2 D X N1 NA
R1 R N1 Y 1kΩ
D3 D Z W NA
D4 D Z X NA
R2 R W X 1kΩ","* circuit generated from schema
D1 W N1 NA
D2 X N1 NA
R1 N1 Y 1k
D3 Z W NA
D4 Z X NA
R2 W X 1k
V1 W 0 DC 1
.model NA D(Is=1e-14 N=1)
.end"
62,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C130>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: For the Zener diode shown in <image>, the Zener voltage at the knee is 7 V, the knee current is negligible, and the Zener dynamic resistance is 10 Ω. If the input voltage \( V_i \) range is from 10 to 16 V, the output voltage \( V_o \) ranges from

Choices 
A. 7.00 to 7.29 V 
B. 7.14 to 7.29 V 
C. 7.14 to 7.43 V 
D. 7.29 to 7.43 V
",C,"Vi V N1 N0 NA; variable voltage
R1 R N1 Nz 200Ω
D1 Dz N0 Nz NA; Dz is a zener diode
Labels:
Vo V Nz N0","* circuit generated from schema
Vi N1 0 DC 1
R1 N1 Nz 200
D1 0 Nz Dz
.model Dz D(Is=1e-14 N=1 BV=5.6 IBV=1m)
.end"
63,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1999CE0100>,"Hint: Please answer the question requiring a floating-point number with two decimal place and provide the final value, e.g., 1.23, 1.34, 1.45, at the end. 
Question: Calculate the operating frequency of the following oscillator circuit, if \(C_1 = 0.027 \, \mu F\), \(C_2 = 0.027 \, \mu F\), and \(L_1 = 220 \, mH\), as shown in the figure. The operating frequency is ______kHz.",2.92,"Q1 PNP NC, NB, NE
L1 L NC N1 NA
C1 C NC 0 NA
C2 C N1 0 NA
C3 C N4 NB NA
R1 R Nv NB NA
R2 R NB 0 NA
RC R Nv NC NA
RE R NE 0 NA
CE C NE 0 NA
Labels:
-V V Nv 0","* circuit generated from schema
V1 Nv 0 DC -12
Q1 NC NB NE PNP1
L1 NC N1 10uH
C1 NC 0 100p
C2 N1 0 100p
C3 N4 NB 10n
R1 Nv NB 100k
R2 NB 0 10k
RC Nv NC 4.7k
RE NE 0 1k
CE NE 0 10u
.model PNP1 PNP(Is=1e-14 Bf=100 Vaf=100)
.end"
